,year,value,metrics,classe
484,1996,0.59,Accuracy Producer,Natural Grassland
485,1996,0.91,Accuracy Producer,Pastureland
486,1996,0.6,Accuracy Producer,Cropland
487,1996,0.0,Accuracy Producer,Bareland and Impervious
488,1996,0.19,Accuracy Producer,Rock Outcrop
489,1996,0.77,Accuracy Producer,Water
490,1997,0.96,Accuracy Producer,Forest
491,1997,0.32,Accuracy Producer,Shrubland
492,1997,0.16,Accuracy Producer,Flooded Forest
493,1997,0.21,Accuracy Producer,Wetland
494,1997,0.59,Accuracy Producer,Natural Grassland
495,1997,0.92,Accuracy Producer,Pastureland
496,1997,0.67,Accuracy Producer,Cropland
497,1997,0.0,Accuracy Producer,Bareland and Impervious
498,1997,0.19,Accuracy Producer,Rock Outcrop
499,1997,0.77,Accuracy Producer,Water
500,1998,0.97,Accuracy Producer,Forest
501,1998,0.34,Accuracy Producer,Shrubland
502,1998,0.16,Accuracy Producer,Flooded Forest
503,1998,0.2,Accuracy Producer,Wetland
504,1998,0.58,Accuracy Producer,Natural Grassland
505,1998,0.91,Accuracy Producer,Pastureland
506,1998,0.62,Accuracy Producer,Cropland
507,1998,0.0,Accuracy Producer,Bareland and Impervious
508,1998,0.19,Accuracy Producer,Rock Outcrop
509,1998,0.81,Accuracy Producer,Water
510,1999,0.97,Accuracy Producer,Forest
511,1999,0.35,Accuracy Producer,Shrubland
512,1999,0.16,Accuracy Producer,Flooded Forest
513,1999,0.2,Accuracy Producer,Wetland
514,1999,0.58,Accuracy Producer,Natural Grassland
515,1999,0.91,Accuracy Producer,Pastureland
516,1999,0.68,Accuracy Producer,Cropland
517,1999,0.0,Accuracy Producer,Bareland and Impervious
518,1999,0.19,Accuracy Producer,Rock Outcrop
519,1999,0.76,Accuracy Producer,Water
520,2000,0.97,Accuracy Producer,Forest
521,2000,0.34,Accuracy Producer,Shrubland
522,2000,0.16,Accuracy Producer,Flooded Forest
523,2000,0.22,Accuracy Producer,Wetland
524,2000,0.58,Accuracy Producer,Natural Grassland
525,2000,0.9,Accuracy Producer,Pastureland
526,2000,0.68,Accuracy Producer,Cropland
527,2000,0.0,Accuracy Producer,Bareland and Impervious
528,2000,0.19,Accuracy Producer,Rock Outcrop
529,2000,0.86,Accuracy Producer,Water
530,2001,0.97,Accuracy Producer,Forest
531,2001,0.34,Accuracy Producer,Shrubland
532,2001,0.16,Accuracy Producer,Flooded Forest
533,2001,0.23,Accuracy Producer,Wetland
534,2001,0.58,Accuracy Producer,Natural Grassland
535,2001,0.91,Accuracy Producer,Pastureland
536,2001,0.76,Accuracy Producer,Cropland
537,2001,0.0,Accuracy Producer,Bareland and Impervious
538,2001,0.19,Accuracy Producer,Rock Outcrop
539,2001,0.87,Accuracy Producer,Water
540,2002,0.96,Accuracy Producer,Forest
541,2002,0.33,Accuracy Producer,Shrubland
542,2002,0.16,Accuracy Producer,Flooded Forest
543,2002,0.23,Accuracy Producer,Wetland
544,2002,0.59,Accuracy Producer,Natural Grassland
